"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: calc","Param: dimension","Param: vectorsCount"
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,838.467960,100.631659,"us/op",PlainJava,256,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,5081.941919,3.095318,"us/op",PlainJava,256,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,20395.618363,15.447759,"us/op",PlainJava,256,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,1184.561353,4.192947,"us/op",PlainJava,384,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,7444.358168,2.963920,"us/op",PlainJava,384,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,29826.898118,71.273849,"us/op",PlainJava,384,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,3104.822809,6.853688,"us/op",PlainJava,768,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,19521.693623,16.639963,"us/op",PlainJava,768,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,78691.424762,239.981494,"us/op",PlainJava,768,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,673.626782,2.479260,"us/op",VectorApi,256,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,4317.788546,31.624951,"us/op",VectorApi,256,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,17205.552558,22.479948,"us/op",VectorApi,256,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,1004.027746,2.690941,"us/op",VectorApi,384,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,6330.589896,6.733345,"us/op",VectorApi,384,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,25407.753628,22.162242,"us/op",VectorApi,384,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,1972.920933,8.217334,"us/op",VectorApi,768,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,12425.742390,67.995414,"us/op",VectorApi,768,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,50105.990050,1265.656442,"us/op",VectorApi,768,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,85.163058,3.669729,"us/op",NativeJni,256,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,529.371096,0.632898,"us/op",NativeJni,256,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,2087.928185,5.285408,"us/op",NativeJni,256,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,126.520524,0.121077,"us/op",NativeJni,384,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,748.762775,7.299152,"us/op",NativeJni,384,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,2929.238536,6.467582,"us/op",NativeJni,384,500
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,213.929136,0.251461,"us/op",NativeJni,768,100
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,1284.849093,12.042019,"us/op",NativeJni,768,250
"ru.ifmo.se.benchmarks.MultiVectorOperationsBenchmark.angularDistancesMatrix","avgt",1,10,5084.561141,28.824359,"us/op",NativeJni,768,500
