"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: K","Param: calc","Param: dimension","Param: distance","Param: vectorsCount"
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,29.161489,2.015514,"ms/op",20,PlainJava,256,euc,1000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,479.270509,70.119675,"ms/op",20,PlainJava,256,euc,5000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,1513.450431,464.552245,"ms/op",20,PlainJava,256,euc,10000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,38.668472,1.994946,"ms/op",20,PlainJava,256,ang,1000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,583.770630,88.437571,"ms/op",20,PlainJava,256,ang,5000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,1836.542060,309.781202,"ms/op",20,PlainJava,256,ang,10000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,14.179849,0.432831,"ms/op",20,VectorApi,256,euc,1000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,217.553642,24.720260,"ms/op",20,VectorApi,256,euc,5000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,804.079153,422.887875,"ms/op",20,VectorApi,256,euc,10000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,33.064301,1.957684,"ms/op",20,VectorApi,256,ang,1000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,528.767968,136.628028,"ms/op",20,VectorApi,256,ang,5000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,1814.083914,732.862382,"ms/op",20,VectorApi,256,ang,10000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,29.241859,1.842067,"ms/op",20,NativeJni,256,euc,1000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,422.358141,98.354576,"ms/op",20,NativeJni,256,euc,5000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,1533.593052,557.278516,"ms/op",20,NativeJni,256,euc,10000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,29.274698,1.756725,"ms/op",20,NativeJni,256,ang,1000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,452.348890,95.723728,"ms/op",20,NativeJni,256,ang,5000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,1614.993901,784.257648,"ms/op",20,NativeJni,256,ang,10000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,5.837111,0.110906,"ms/op",20,NativePanama,256,euc,1000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,90.340635,12.722784,"ms/op",20,NativePanama,256,euc,5000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,302.237605,36.838352,"ms/op",20,NativePanama,256,euc,10000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,7.037424,0.185557,"ms/op",20,NativePanama,256,ang,1000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,112.172331,17.707456,"ms/op",20,NativePanama,256,ang,5000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,370.290570,124.786643,"ms/op",20,NativePanama,256,ang,10000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,40.164758,2.141971,"ms/op",50,PlainJava,256,euc,1000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,680.159368,97.002429,"ms/op",50,PlainJava,256,euc,5000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,2598.944199,592.051733,"ms/op",50,PlainJava,256,euc,10000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,53.130000,3.266418,"ms/op",50,PlainJava,256,ang,1000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,919.428151,320.827109,"ms/op",50,PlainJava,256,ang,5000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,3048.742139,597.479159,"ms/op",50,PlainJava,256,ang,10000
"ru.ifmo.se.benchmarks.ComplexVectorOperations.knn","avgt",1,10,18.900148,0.974483,"ms/op",50,VectorApi,256,euc,1000
