"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: calc","Param: dimension","Param: vectorsCount"
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,79.550929,0.256025,"us/op",PlainJava,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,23.140874,0.110169,"us/op",PlainJava,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,57.655867,0.333540,"us/op",PlainJava,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,117.176829,0.413153,"us/op",PlainJava,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,60.711310,0.034286,"us/op",PlainJava,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,153.602491,0.823345,"us/op",PlainJava,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,306.240746,2.076871,"us/op",PlainJava,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,13.085715,0.028068,"us/op",VectorApi,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,32.798220,0.089256,"us/op",VectorApi,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,66.160063,0.057995,"us/op",VectorApi,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,19.623521,0.144154,"us/op",VectorApi,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,48.689056,0.030969,"us/op",VectorApi,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,99.024856,1.222680,"us/op",VectorApi,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,38.676745,0.035575,"us/op",VectorApi,768,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,96.663770,0.544191,"us/op",VectorApi,768,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,193.009473,1.225551,"us/op",VectorApi,768,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,10.190507,1.036763,"us/op",NativeJni,256,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,28.338997,2.341055,"us/op",NativeJni,256,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,59.649544,4.850415,"us/op",NativeJni,256,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,15.123737,2.236709,"us/op",NativeJni,384,100
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,43.570020,4.467023,"us/op",NativeJni,384,250
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,89.855310,3.550789,"us/op",NativeJni,384,500
"ru.ifmo.se.benchmarks.MultiArrayOperations.angularDistancesMulti","avgt",1,10,33.174025,3.921082,"us/op",NativeJni,768,100
