"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: M","Param: NBits","Param: calc","Param: dimension","Param: distance","Param: vectorsCount"
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,10.546235,0.773917,"s/op",8,8,NativeJni,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,12.452460,1.372020,"s/op",8,8,NativeJni,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,4.766031,0.496131,"s/op",8,8,NativePanama,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,6.866169,0.618040,"s/op",8,8,NativePanama,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,21.171083,0.801086,"s/op",8,12,PlainJava,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,39.179845,2.365090,"s/op",8,12,PlainJava,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,17.288745,1.583293,"s/op",8,12,VectorApi,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,41.769408,3.090115,"s/op",8,12,VectorApi,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,25.274441,0.747702,"s/op",8,12,NativeJni,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,31.139785,1.423405,"s/op",8,12,NativeJni,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,11.661833,0.482904,"s/op",8,12,NativePanama,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,17.722107,1.126238,"s/op",8,12,NativePanama,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,72.280529,2.869472,"s/op",8,16,PlainJava,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,139.217299,5.492073,"s/op",8,16,PlainJava,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,58.511595,2.075705,"s/op",8,16,VectorApi,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,148.389085,7.306343,"s/op",8,16,VectorApi,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,114.893454,3.229489,"s/op",8,16,NativeJni,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,140.211634,2.794684,"s/op",8,16,NativeJni,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,39.869390,1.051146,"s/op",8,16,NativePanama,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,60.828181,2.027360,"s/op",8,16,NativePanama,256,ang,10000
