"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: M","Param: NBits","Param: calc","Param: dimension","Param: distance","Param: vectorsCount"
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,6.824657,0.902867,"s/op",4,8,PlainJava,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,10.368550,1.503322,"s/op",4,8,PlainJava,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,4.901383,0.775651,"s/op",4,8,VectorApi,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,10.482459,2.264850,"s/op",4,8,VectorApi,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,6.782977,0.723514,"s/op",4,8,NativeJni,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,8.087538,1.231285,"s/op",4,8,NativeJni,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,2.120359,0.338176,"s/op",4,8,NativePanama,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,3.156692,0.339741,"s/op",4,8,NativePanama,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,17.189919,1.749598,"s/op",4,12,PlainJava,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,27.769209,2.647877,"s/op",4,12,PlainJava,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,11.991818,1.291782,"s/op",4,12,VectorApi,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,28.311162,2.186667,"s/op",4,12,VectorApi,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,16.220880,1.011213,"s/op",4,12,NativeJni,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,18.845552,1.988763,"s/op",4,12,NativeJni,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,5.283769,0.247990,"s/op",4,12,NativePanama,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,8.352307,0.828927,"s/op",4,12,NativePanama,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,85.175128,0.898156,"s/op",4,16,PlainJava,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,133.257007,1.208060,"s/op",4,16,PlainJava,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,60.415234,1.431688,"s/op",4,16,VectorApi,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,132.304673,1.458037,"s/op",4,16,VectorApi,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,139.107782,13.868450,"s/op",4,16,NativeJni,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,155.459903,9.473871,"s/op",4,16,NativeJni,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,26.073851,0.423638,"s/op",4,16,NativePanama,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,40.721490,0.865874,"s/op",4,16,NativePanama,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,7.871114,0.666036,"s/op",8,8,PlainJava,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,14.304645,1.029094,"s/op",8,8,PlainJava,256,ang,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,6.353108,0.791578,"s/op",8,8,VectorApi,256,euc,10000
"ru.ifmo.se.benchmarks.ProductQuantizationBenchmark.pq","avgt",1,10,15.404860,1.908196,"s/op",8,8,VectorApi,256,ang,10000
